,Website,Property_Title,Rent,Description
13,Housing,2 BHK Independent House for rent in New Town,"₹16,000",This is a well-designed 2 BHK Independent House available for rent. It is situated in a prime location of Kolkata at New Town. This modern Independent House is Unfurnished. The 2 BHK unit fulfills all the needs of a modern lifestyle for families. The Independent House provides complete comfort for the residents. The Independent House lets you enjoy the lush greenery around. Meticulously designed to meet you...more
14,Housing,2 BHK Independent House for rent in New Town,"₹12,000","2bhk twelve thousand only location is new town jhil par & kestopur mission bazer near salt lake sector v & new town dlf one ten mins distance walkable.market, bus stand, toto,auto,hotel, bank, atm,school,zim,shopping mall are also available .location is very good. More About This Property Are you looking for an affordable Independent House for rent in Kolkata?. Here is a spacious 2 BHK Independent House in ...more"
15,Housing,2 BHK Independent House for rent in New Town,"₹13,500","Check this beautiful 2 BHK Independent House available for rent in Kolkata. Nestled at a prime location in New Town, it is an ideal home for those looking for a modern lifestyle. The Independent House is unfurnished, available for affordable rent. This 2 BHK unit is inside a gated society equipped with various amenities and ample greenery. The Independent House is thoughtfully designed to ensure a comfortab...more"
16,Housing,2 BHK Independent House for rent in Rajarhat,"₹14,000","Check out this Independent House available for rent in Hatiara in Kolkata. It is a 2 BHK unit that comes at an affordable rent, with modern features and premium amenities to suit your lifestyle needs. The unit is fully furnished. With numerous new-age amenities and green surroundings, this Independent House provides a convenient lifestyle for residents. A spacious house for your family, this unit includes 2...more"
17,Housing,2 BHK Independent House for rent in Salt Lake City,"₹15,000","This Independent House can be a comfortable and affordable home for your family. It is a 2 BHK unit available on rent at Salt Lake in Kolkata. This Independent House comes with a plethora of amenities to meet your modern lifestyle needs. It is unfurnished. Offering beautiful city views, this 2 BHK has been thoughtfully developed. It includes a total of 2 bedrooms and 2 bathroom. It also includes 0 balcony t...more"
18,Housing,2 BHK Independent House for rent in Dhapa,"₹12,500","Check out this Independent House available for rent in Salt Lake in Kolkata. It is a 2 BHK unit that comes at an affordable rent, with modern features and premium amenities to suit your lifestyle needs. The unit is unfurnished. With numerous new-age amenities and green surroundings, this Independent House provides a convenient lifestyle for residents. A spacious house for your family, this unit includes 2 b...more"
19,Housing,2 BHK Independent House for rent in Rajarhat,"₹10,000","Check this beautiful 2 BHK Independent House available for rent in Kolkata. Nestled at a prime location in Reekjoyoni, it is an ideal home for those looking for a modern lifestyle. The Independent House is semi furnished, available for affordable rent. This 2 BHK unit is inside a gated society equipped with various amenities and ample greenery. The Independent House is thoughtfully designed to ensure a comf...more"
20,Housing,2 BHK Independent House for rent in Salt Lake City,"₹26,000","Fully furnished 2 BHK Flat (746 sq. ft) with 2 wash rooms, balcony, at Salt Lake, Sec V, near Tarun Sangha club. Rent- 26000, including maintenance .Security deposit 52,000, notice period-1 month. 1st floor, covered parking for 4 wheeler, lift, 24*7 water supply, power generator back up, gym, community hall, security guard, cc tv camera, Technopolis just 1km. Market is at door step. Fully furnished with TWO...more"
21,Housing,2 BHK Independent House for rent in Keshtopur,"₹10,500","This Independent House can be a comfortable and affordable home for your family. It is a 2 BHK unit available on rent at Keshtopur in Kolkata. This Independent House comes with a plethora of amenities to meet your modern lifestyle needs. It is Semi Furnished. Offering beautiful city views, this 2 BHK has been thoughtfully developed. It includes a total of 2 bedrooms and 2 bathroom. The property is North-Eas...more"
22,Housing,2 BHK Independent House for rent in Keshtopur,"₹11,500","This property is near by kestopur bus stop,walking distance 1/2mints.it’s a 2nd floor,no lift. More About This Property Your search for a spacious home at affordable rent in Kolkata ends here. This 2 BHK Independent House in Keshtopur is all that you have been looking for! Designed as South-West facing, the unit is compliant with Vastu principles. The 2 BHK property offers a serene environment with excellen...more"
23,Housing,2 BHK Independent House for rent in Keshtopur,"₹11,000","Here is an excellent 2 BHK Independent House available for rent in Kolkata. Surrounded by natural greens and equipped with numerous amenities, this rented 2 BHK house offers a comfortable lifestyle for families. It is a spacious property nestled in Keshtopur that enjoys good connectivity to major landmarks of the city. The Independent House is designed as per modern construction standards. It has 2 bedrooms...more"
24,Housing,2 BHK Independent House for rent in Keshtopur,"₹10,500","GOOD LOCATION NEAR MAIN ROAD 
WEAKING DISTANCE FORM AUTO STAND BUS STOPN BANK ATM SCHOOL MEDICINE SHOP 
EASSY CONNECT SALT LAKE CITY NEW TOWN BIDHAN NAGAR STATON AIRPORT 
MARBLE FLORING  More About This Property Are you looking for an affordable Independent House for rent in Kolkata?. Here is a spacious 2 BHK Independent House in Keshtopur, promising a comfortable lifestyle. The Independent House is Unfurni...more"
25,Housing,2 BHK Independent House for rent in Keshtopur,"₹11,000","This property is near by kestopur bus stop.waiting distance 1mints.it’s a private house,ground floor.nearest market, medicine shop, bank, atm, gym is available  More About This Property Here is an excellent 2 BHK Independent House available for rent in Kolkata. Surrounded by natural greens and equipped with numerous amenities, this rented 2 BHK house offers a comfortable lifestyle for families. It is a spac...more"
26,Housing,2 BHK Independent House for rent in Keshtopur,"₹11,000","This Independent House can be a comfortable and affordable home for your family. It is a 2 BHK unit available on rent at Keshtopur in Kolkata. This Independent House comes with a plethora of amenities to meet your modern lifestyle needs. It is Semi Furnished. Offering beautiful city views, this 2 BHK has been thoughtfully developed. It includes a total of 2 bedrooms and 2 bathroom. It also includes 1 balcon...more"
27,MagicBricks,"2 BHK Apartment for Rent in Curio City, New Town Kolkata","₹23,000","find this 2 bhk apartment for rent in new town, kolkata east. This 2 bhk apartment in realtech nirman curio city is situated in kolkata east. This property offers access to nearby landmarks and is close to school, close to hospital and close to market. Property has attached 2 bathrooms 1 balcony with 2 rooms set in 900 sq.Ft. Carpet area. The flat is built on 900 sq.Ft. Area. Ease of access to 1 open parking within society. This flat is situated at 1st in a tower with 5 floors. This is a 01 year old society. This property is furnished. Equipped with 4 light, 3 fan, 2 ac, 1 tv, 2 bed, etc"
28,MagicBricks,"2 BHK Apartment for Rent in TATA Avenida, New Town Kolkata","₹29,000",Its a premium 2 bhk semi furnished unit. The monthly maintenance is Rs 2000/-.
29,MagicBricks,2 BHK Apartment for Rent in Action Area 1 Kolkata,"₹23,000",Large 2 BHK flat converted from 3 BHK with Large lobby The monthly maintenance is Rs 2000/-.
30,MagicBricks,"2 BHK Apartment for Rent in Ambey Regent, New Town Kolkata","₹16,000",2 BHK premium flat available at New Town near Eco park.
31,MagicBricks,"2 BHK Apartment for Rent in Ambuja Ujjwala The Condoville, New Town Kolkata","₹22,000",2bhk fully furnished rental flat available at ujjala complex contact for more information. The monthly maintenance is Rs 1/-.
32,MagicBricks,"2 BHK Apartment for Rent in Purti Veda, Action Area 1 Kolkata","₹24,000",2 bhk semi furnished flat rent in new town action area 1 opp sanjeeva garden all modern amenities r there The monthly maintenance is Rs 1/-.
33,MagicBricks,2 BHK Apartment for Rent in New Town Kolkata,"₹15,000","New Construction, High Security Zone,"
34,MagicBricks,"2 BHK Apartment for Rent in Uttara Tritiya, New Town Kolkata","₹25,000",Full furnished 2bhk flat adjacent to City center 2 Bengal DCL UttaraThings included
35,MagicBricks,"2 BHK Apartment for Rent in Shapoorji Paloonji Sukhobristi, Action Area 3 Kolkata","₹17,500",South facing 2 bhk fully furnished with reserved car park
36,MagicBricks,"2 BHK Apartment for Rent in Sunny Fort, New Town Kolkata","₹23,500","South Facing garden over-viewing newly constructed flat with 2 brand new fitted ac with all modern amenities such as gym, club, swimming pool and power back-up The monthly maintenance is Rs 1500/-."
37,MagicBricks,2 BHK Apartment for Rent in DD Block Newtown Kolkata,"₹28,000","2 BHK, Multistorey Apartment is available for Rent in DD Block Newtown, Kolkata for 28,000"
38,MagicBricks,"2 BHK House for Rent in Sunrise Point, Action Area 2 Kolkata","₹20,000","Planning to experience a blissful lifestyle with your beloved family?? Then here is one such opportunity to make your desires come true. This elegantly crafted 2 BHK residential house is available on a monthly rental basis in Sunrise Point, Action Area 2, Kolkata.Property SpecificationsSituated away from the hustle-bustle of the city, this residence is truly a perfect home for a family who have planned to reside in Kolkata. Brilliantly raised over 14 exclusive floors, this one of its kind 2 BHK residential house is sited on the 6th floor.Overlooking the beautiful city, this exquisite north-east facing residential house faces the north-east direction. Designed to suit the living needs of family, this residential unit encompasses 2 fabulous bedrooms, 2 western themed bathrooms, spacious dining room cum hall, a balcony of 3feet by 11feet connected to the hall overlooks the city, and a sleek kitchen adorned with exhaust fan, washing machine, fridge, granite slab followed by the sink. Both the bedrooms are provided with comfy beds and are bedecked with trendy wardrobes. Of the 2 western bathrooms, one is connected to the bedroom while the other is for common use. The dining room has a dining table while the hall features a TV where you can spend your free time. Ceramic flooring is used to enhance the overall appeal of this abode.FacilitiesOne covered parking slot is available to place your vehicle. Round the clock water supply, DG set given as a power backup, 2 lifts, gymnasium, reserved parking, security, piped gas, jogging & strolling track are the other high end amenities provided to this society.LocalityThis well-planned residential society is located just 500m away from the Silicon Valley. Post office is easily accessible within just 200m from this project. Public transport facilities lie within the short distance, while an upcoming metro station is accessible within 500m to ensure smooth commuting.This government notified township is located close to the Rotary 6. Some of the prominent schools as well as the colleges are accessible within 2km radius. Apollo pharmacy, daily needs shop, and the medical shop are all situated within the society, which is the major benefit for the occupants living here. The very famous Charnock Hospital is situated within the periphery of 1.1km. City Center 2 Shopping Mall is situated within the short distance of 1km. Most of the well-known banks as well as the ATMs are situated within the short distance of 1km."
39,MagicBricks,"2 BHK Apartment for Rent in Ambuja Neotia City Centre, New Town Kolkata","₹18,000",Spacious 2 bhk well maintained Furnished flat rent basis in a prestigious complex in City centre 2 in New town....Very prime location...All furnished items are there..Flat for Students It professional and family members belong from service..Well maintained flat ..Garden .area is there...Located in a very prime location..all modern amenities....Air port 5km... Sector five and eco space are 10..Market beside
40,MagicBricks,"2 BHK Apartment for Rent in PS Amistad, New Town Kolkata","₹27,000","this is 2 bhk unfurnished flat just beside of TCS New town Very prime location , the society have all morden amenities like pool jym, cctv etc contact for more details The monthly maintenance is Rs 3500/-."
41,MagicBricks,"2 BHK Apartment for Rent in Shrachi Greenwood Nest, Action Area 1 Kolkata","₹30,000","A spacious 2 BHK flat for rent is available in Action Area 1 in Shrachi Greenwood Nest, Kolkata East. Property has 811 sq.ft. Super builtup area with 2 bathrooms 1 balcony attached. The flat consists of 2 bedrooms, built on 905 sq.ft. A separate space for Pooja Room is available in this flat. Society provides 1 covered parking with this flat. The building has a total of 12 floors and this property is situated on 3rd floor. Property is 510 years old. This is a Furnished flat. Furnishing options provided 8 Light, 3 Fan, 1 Bed, 1 Wardrobe, 1 Sofa, 1 Modular Kitchen, 1 Chimney, 1 Curtains a The monthly maintenance is Rs 2000/-."
42,MagicBricks,2 BHK Builder Floor for Rent in Action Area 1A Kolkata,"₹19,000","2 BHK, Builder Floor Apartment is available for Rent in Action Area 1A, Kolkata for 19,000"
43,MagicBricks,"2 BHK Apartment for Rent in Sureka Elita Garden Vista, New Town Kolkata","₹22,500",2bhk unfurnished flat with a modern aminities.
44,MagicBricks,"2 BHK Apartment for Rent in PS Amistad, New Town Kolkata","₹30,000","2bhk semi furnished flat with modular kitchen ,wardrobes in the bedrooms and 1 ac in the master bedroom along with light and fans is available for rent in PS Amistad complex near Action area 2 beside TCS Office,Eco space ,Dlf2 and upcoming fintech hub.kindly call us for more details or site visit. The monthly maintenance is Rs 2/-."
45,MagicBricks,2 BHK Apartment for Rent in Action Area 2 Kolkata,"₹20,000",all amenities available here . rent negotiable Hiland willow
46,MagicBricks,"2 BHK Apartment for Rent in Shapoorji Pallonji Housing Complex, Block J Action Area 3 Kolkata","₹18,000",2 bhk rent in shapoorji complex new town action area iii kolkata700135
47,MagicBricks,"2 BHK Apartment for Rent in Shapoorji Pallonji Housing Complex, Action Area 3 Kolkata","₹13,500","It is in gated complex, near to New Town, Sector 5 offices, CANDOR, with best road connectivity"
48,MagicBricks,"2 BHK Apartment for Rent in Ambuja Utsa The Condoville, New Town Kolkata","₹25,000",good maintenance The monthly maintenance is Rs 500/-.
49,MagicBricks,"2 BHK Apartment for Rent in PS ONE10, Action Area 1 Kolkata","₹30,000","This Flat is in prominent society PS One 10, in Action Area 1, Newtown Kolkata . It is one of the best property in kolkata having all sort of amenties like Swimming pool, gym, parks,power back up, Covered car park, club,security etcIt is a 2BHK flat with 2bathrooms, 2balcony, This flat has got , curtain rods, all electrical fittings, The monthly maintenance is Rs 4500/-."
50,MagicBricks,2 BHK Apartment for Rent in Action Area 1 Kolkata,"₹20,000","2 BHK, Multistorey Apartment is available for Rent in Action Area 1, Kolkata for 20,000"
51,MagicBricks,"2 BHK Apartment for Rent in Moonbeam, New Town Kolkata","₹14,000","new town aa 2c moon beam complex 2 bhk 900 sq. ft. 1 st floor g4 semi furnished , west , facing , 1 open parking 14000 k for rent near location, water tanks, 13, 46b 215 bus stand, Akanksha, complex bus stop , metro station, our service charge 1 month rent, thankyou"
52,MagicBricks,"2 BHK Apartment for Rent in Moonbeam, New Town Kolkata","₹11,000","Multistorey apartment is available for rent. It covered area of 900 sq-ft, it is a good location property. Please contact for more details."
53,MagicBricks,"2 BHK Apartment for Rent in Swan Court, New Town Kolkata","₹15,500","A spacious 2BHK flat available for rent in New Town, Action Area IIB, Kolkata. It has two bedroom one living come dining space, two bathroom, one balcony south open. Location in New Town Action Area IIB, Heart of New Town."
54,MagicBricks,2 BHK Apartment for Rent in Action Area 2 Kolkata,"₹27,000","This 2 BHK flat located in Action Area 2, Kolkata, offers a comfortable living space with a super built-up area of 1385 sqft and a carpet area of 950 sqft. Property Specifications Situated on the first floor of a well-maintained 4-story building, this apartment provides ample space for small families or professionals. The unit is currently unfurnished, allowing tenants the flexibility to design and furnish the space according to their personal preferences.The flat features two spacious bedrooms and two bathrooms, with one attached to the master bedroom and the other being a common bathroom. Both bathrooms are equipped with western-style fittings, and geyser points are available for convenience. A single balcony is attached to the living room, providing a lovely view of the surroundings. The living and dining areas are designed in a combined layout, offering a spacious and functional area for relaxation and dining. The kitchen is a simple, functional space, perfect for cooking everyday meals. The flooring throughout the apartment is made of vitrified tiles, which are easy to maintain and contribute to the clean, modern feel of the flat.Facilities In terms of features, the flat is vaastu compliant and faces west, ensuring a favorable environment for its residents. It also includes a covered parking space, offering secure parking for your vehicle. Water supply is available throughout the day, ensuring a steady source of water for all needs.Locality The property is ideally located in Action Area 2, with Sikul More serving as a notable landmark. The area is well-connected to schools, hospitals, shopping malls, supermarkets, and banksATMs, all located within a kilometers distance. Public transport options are easily accessible, and an upcoming metro station just 1 km away will further improve the areas connectivity, making commuting easier for the residents.This multistorey apartment is in a prime location, making it an attractive rental option for anyone looking to settle in Kolkata. It offers both convenience and comfort, with easy access to essential services and modern amenities. For more details, please feel free to reach out. The monthly maintenance is Rs 2500/-."
55,MagicBricks,2 BHK House for Rent in New Town Kolkata,"₹26,000","Very good property in New Town AA1, complex name Rahora Addres 2BHK unfurnished flat Rent 26k with 2 washroom and parking available, all mordan aminites available. The monthly maintenance is Rs 2200/-."
56,MagicBricks,2 BHK Apartment for Rent in New Town Kolkata,"₹30,000",location New Town 2 BHK 2 toilet 1 kitchen dining room south facing Marvel finish with balcony parking lift fully furnished apartment The monthly maintenance is Rs 500/-.
